dataset,protocol,fold,zone,regime,model,blend_weight_mlp,cal_objective,spike_threshold,mae,rmse,smape,n,local_rmse,local_mae,rmse_improvement_pct,mae_improvement_pct
OPSD,zone_holdout,holdout_DK_1,DK_1,non_spike,LOZO GraphPatch blend,0.4,5.435534082670109,16.91,2.550347387012253,3.9772644644674826,16.410560277990758,8325,4.332413068871958,2.7521128892389126,8.197477912625404,7.331294548838704
OPSD,zone_holdout,holdout_DK_2,DK_2,all,Local ridge,,,16.880000000000003,3.0940820150099717,5.167137072387582,15.234689966219072,10043,5.167137072387582,3.0940820150099717,0.0,0.0
OPSD,zone_holdout,holdout_DK_2,DK_2,all,LOZO GraphPatch blend,0.5,5.769296027531993,16.880000000000003,2.9144656657441144,4.830541500283535,15.201028044988071,10043,5.167137072387582,3.0940820150099717,6.514159918512011,5.805157988524699
OPSD,zone_holdout,holdout_DK_2,DK_2,spike,Local ridge,,,16.880000000000003,4.9590709860319135,7.707696072248041,24.614499229160515,1712,7.707696072248041,4.9590709860319135,0.0,0.0
OPSD,zone_holdout,holdout_DK_2,DK_2,spike,LOZO GraphPatch blend,0.5,5.769296027531993,16.880000000000003,4.449935376718563,7.192680629539929,22.296525473339713,1712,7.707696072248041,4.9590709860319135,6.681833817532736,10.266753808272146
OPSD,zone_holdout,holdout_DK_2,DK_2,non_spike,Local ridge,,,16.880000000000003,2.7108313706227958,4.46963425416827,13.307162243478016,8331,4.46963425416827,2.7108313706227958,0.0,0.0
OPSD,zone_holdout,holdout_DK_2,DK_2,non_spike,LOZO GraphPatch blend,0.5,5.769296027531993,16.880000000000003,2.5989304184522815,4.183048350343107,13.742920783274231,8331,4.46963425416827,2.7108313706227958,6.411842390860056,4.127920068477215
OPSD,zone_holdout,holdout_GB_GBN,GB_GBN,all,Local ridge,,,17.08,3.31831450164859,4.873086948293279,12.696301038864007,10016,4.873086948293279,3.31831450164859,0.0,0.0
OPSD,zone_holdout,holdout_GB_GBN,GB_GBN,all,LOZO GraphPatch blend,0.30000000000000004,6.229058226398395,17.08,2.970735841083074,4.3994728360674005,11.466910445241298,10016,4.873086948293279,3.31831450164859,9.718975205064924,10.474554488214832
OPSD,zone_holdout,holdout_GB_GBN,GB_GBN,spike,Local ridge,,,17.08,7.585819525299678,10.007779850733305,40.0902392630859,767,10.007779850733305,7.585819525299678,0.0,0.0
OPSD,zone_holdout,holdout_GB_GBN,GB_GBN,spike,LOZO GraphPatch blend,0.30000000000000004,6.229058226398395,17.08,6.699557166614047,9.000277985163365,36.07402051748278,767,10.007779850733305,7.585819525299678,10.067186534844863,11.683145845084141
OPSD,zone_holdout,holdout_GB_GBN,GB_GBN,non_spike,Local ridge,,,17.08,2.964419339669957,4.172597051304778,10.424579704884316,9249,4.172597051304778,2.964419339669957,0.0,0.0
OPSD,zone_holdout,holdout_GB_GBN,GB_GBN,non_spike,LOZO GraphPatch blend,0.30000000000000004,6.229058226398395,17.08,2.6615125783863225,3.7739749364970683,9.42629487324333,9249,4.172597051304778,2.964419339669957,9.553333569151132,10.21808072933968
